0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:56:45 +0530] "POST /Student_Result_Mangement_System/studentHome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:56:45 +0530] "GET /Student_Result_Mangement_System/errorstudentresult.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:56:54 +0530] "POST /Student_Result_Mangement_System/studentHome.jsp HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:57:52 +0530] "POST /Student_Result_Mangement_System/studentHome.jsp HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:58:11 +0530] "POST /Student_Result_Mangement_System/studentHome.jsp HTTP/1.1" 500 2314
0:0:0:0:0:0:0:1 - - [05/Jul/2023:13:58:22 +0530] "POST /Student_Result_Mangement_System/studentHome.jsp HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [05/Jul/2023:14:00:28 +0530] "POST /Student_Result_Mangement_System/studentHome.jsp HTTP/1.1" 200 4195
0:0:0:0:0:0:0:1 - - [05/Jul/2023:14:00:58 +0530] "POST /Student_Result_Mangement_System/studentHome.jsp HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [05/Jul/2023:14:01:09 +0530] "GET /Student_Result_Mangement_System/dgiOneView.html HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [05/Jul/2023:14:01:29 +0530] "POST /Student_Result_Mangement_System/studentHome.jsp HTTP/1.1" 200 4191
0:0:0:0:0:0:0:1 - - [05/Jul/2023:14:01:37 +0530] "POST /Student_Result_Mangement_System/studentHome.jsp HTTP/1.1" 200 4191
0:0:0:0:0:0:0:1 - - [05/Jul/2023:14:01:48 +0530] "POST /Student_Result_Mangement_System/studentHome.jsp HTTP/1.1" 200 4191
0:0:0:0:0:0:0:1 - - [05/Jul/2023:14:02:15 +0530] "GET /Student_Result_Mangement_System/studentresult.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:14:02:19 +0530] "POST /Student_Result_Mangement_System/studentHome.jsp HTTP/1.1" 200 4199
